fifa_id,match,date,venue,local_hour,minute,duration_sec
400021443,Mexico vs South Africa,2026-06-11,Estadio Banorte,13,25,176.888
400021443,Mexico vs South Africa,2026-06-11,Estadio Banorte,13,68,155.033
400021441,South Korea vs Czechia,2026-06-12,Estadio Akron,20,23,145.312
400021441,South Korea vs Czechia,2026-06-12,Estadio Akron,20,70,162.071
400021449,Canada vs Bosnia-Herzegovina,2026-06-12,BMO Field,15,23,139.255
400021449,Canada vs Bosnia-Herzegovina,2026-06-12,BMO Field,15,69,160.806
400021458,United States vs Paraguay,2026-06-13,SoFi Stadium,18,24,197.456
400021458,United States vs Paraguay,2026-06-13,SoFi Stadium,18,68,187.262
400021447,Qatar vs Switzerland,2026-06-13,Levi's Stadium,12,24,162.234
400021447,Qatar vs Switzerland,2026-06-13,Levi's Stadium,12,67,197.529
400021456,Brazil vs Morocco,2026-06-13,MetLife Stadium,18,23,184.363
400021456,Brazil vs Morocco,2026-06-13,MetLife Stadium,18,68,170.44
400021453,Haiti vs Scotland,2026-06-14,Gillette Stadium,21,23,157.809
400021453,Haiti vs Scotland,2026-06-14,Gillette Stadium,21,67,194.896
400021463,Australia vs Türkiye,2026-06-14,BC Place,21,23,186.096
400021463,Australia vs Türkiye,2026-06-14,BC Place,21,68,200.313
400021464,Germany vs Curaçao,2026-06-14,NRG Stadium,12,23,186.0
400021464,Germany vs Curaçao,2026-06-14,NRG Stadium,12,69,234.68
400021470,Netherlands vs Japan,2026-06-14,AT&T Stadium,15,23,184.416
400021470,Netherlands vs Japan,2026-06-14,AT&T Stadium,15,67,199.0
400021467,Ivory Coast vs Ecuador,2026-06-14,Lincoln Financial Field,19,24,202.928
400021467,Ivory Coast vs Ecuador,2026-06-14,Lincoln Financial Field,19,69,214.988
400021474,Sweden vs Tunisia,2026-06-15,Estadio BBVA,20,23,179.064
400021474,Sweden vs Tunisia,2026-06-15,Estadio BBVA,20,69,171.392
