fifa_id,espn_id,date,home,away,score,venue,local_hour,n_breaks,n_subs,subs_during_breaks,subs_5min_after
400021443,760415,2026-06-11,Mexico,South Africa,2-0,Estadio Banorte,13,2,9,0,0
400021441,760414,2026-06-12,South Korea,Czechia,2-1,Estadio Akron,20,2,9,0,0
400021449,760416,2026-06-12,Canada,Bosnia-Herzegovina,1-1,BMO Field,15,2,10,0,3
400021458,760417,2026-06-13,United States,Paraguay,4-1,SoFi Stadium,18,2,9,0,2
400021447,760420,2026-06-13,Qatar,Switzerland,1-1,Levi's Stadium,12,2,10,0,0
400021456,760419,2026-06-13,Brazil,Morocco,1-1,MetLife Stadium,18,2,10,0,0
400021453,760418,2026-06-14,Haiti,Scotland,0-1,Gillette Stadium,21,2,8,0,3
400021463,760421,2026-06-14,Australia,Türkiye,2-0,BC Place,21,2,10,0,2
400021464,760422,2026-06-14,Germany,Curaçao,7-1,NRG Stadium,12,2,8,3,0
400021470,760425,2026-06-14,Netherlands,Japan,2-2,AT&T Stadium,15,2,10,3,3
400021467,760423,2026-06-14,Ivory Coast,Ecuador,1-0,Lincoln Financial Field,19,2,9,0,3
400021474,760424,2026-06-15,Sweden,Tunisia,5-1,Estadio BBVA,20,2,10,0,3
